Pk,Player,College,draft_year,Season,num_years_college
2,Emeka Okafor,UConn,2004,2004,3
3,Ben Gordon,UConn,2004,2004,3
5,Devin Harris,Wisconsin,2004,2004,3
6,Josh Childress,Stanford,2004,2004,3
7,Luol Deng,Duke,2004,2004,1
8,Rafael Araujo,BYU,2004,2004,2
9,Andre Iguodala,Arizona,2004,2004,2
10,Luke Jackson,Oregon,2004,2004,4
14,Kris Humphries,Minnesota,2004,2004,1
16,Kirk Snyder,Nevada,2004,2004,3
20,Jameer Nelson,Saint Joseph's,2004,2004,4
24,Delonte West,Saint Joseph's,2004,2004,3
25,Tony Allen,Oklahoma State,2004,2004,2
26,Kevin Martin,Western Carolina University,2004,2004,3
29,David Harrison,Colorado,2004,2004,3
31,Jackson Vroman,Iowa State,2004,2004,2
33,Lionel Chalmers,Xavier,2004,2004,4
34,Donta Smith,Southeastern Illinois College,2004,2004,3
35,Andre Emmett,Texas Tech,2004,2004,4
36,Antonio Burks,Memphis,2004,2004,3
37,Royal Ivey,Texas,2004,2004,4
38,Chris Duhon,Duke,2004,2004,4
40,Justin Reed,Ole Miss,2004,2004,4
41,David Young,NC Central,2004,2004,4
43,Trevor Ariza,UCLA,2004,2004,1
44,Tim Pickett,Florida State,2004,2004,2
45,Bernard Robinson,Michigan,2004,2004,4
47,Pape Sow,Cal State Fullerton,2004,2004,3
48,Ricky Minard,Morehead State University,2004,2004,4
51,Christian Drejer,Florida,2004,2004,2
52,Romain Sato,Xavier,2004,2004,4
53,Matt Freije,Vanderbilt,2004,2004,4
54,Rickey Paulding,Missouri,2004,2004,4
55,Luis Flores,Manhattan University,2004,2004,4
56,Marcus Douthit,Providence,2004,2004,4
58,Blake Stepp,Gonzaga,2004,2004,4
59,Rashad Wright,Georgia,2004,2004,4
1,Andrew Bogut,Utah,2005,2005,2
2,Marvin Williams,UNC,2005,2005,1
3,Deron Williams,Illinois,2005,2005,3
4,Chris Paul,Wake Forest,2005,2005,2
5,Raymond Felton,UNC,2005,2005,3
7,Charlie Villanueva,UConn,2005,2005,2
8,Channing Frye,Arizona,2005,2005,4
9,Ike Diogu,Arizona State,2005,2005,3
13,Sean May,UNC,2005,2005,3
14,Rashad McCants,UNC,2005,2005,3
15,Antoine Wright,Texas A&M,2005,2005,3
16,Joey Graham,Oklahoma State,2005,2005,4
17,Danny Granger,New Mexico,2005,2005,4
19,Hakim Warrick,Syracuse,2005,2005,4
20,Julius Hodge,NC State,2005,2005,4
21,Nate Robinson,Washington,2005,2005,3
22,Jarrett Jack,Georgia Tech,2005,2005,3
23,Francisco Garcia,Louisville,2005,2005,3
24,Luther Head,Illinois,2005,2005,4
26,Jason Maxiell,Cincinnati,2005,2005,4
27,Linas Kleiza,Missouri,2005,2005,2
29,Wayne Simien,Kansas,2005,2005,4
30,David Lee,Florida,2005,2005,4
31,Salim Stoudamire,Arizona,2005,2005,4
32,Daniel Ewing,Duke,2005,2005,4
33,Brandon Bass,LSU,2005,2005,2
37,Ronny Turiaf,Gonzaga,2005,2005,4
38,Travis Diener,Marquette,2005,2005,4
39,Von Wafer,Florida State,2005,2005,2
42,Chris Taft,Pitt,2005,2005,2
47,Bracey Wright,Indiana,2005,2005,3
50,Ryan Gomes,Providence,2005,2005,4
51,Robert Whaley,Walsh University,2005,2005,2
53,Orien Greene,Louisiana,2005,2005,4
54,Dijon Thompson,UCLA,2005,2005,4
55,Lawrence Roberts,Mississippi State,2005,2005,4
60,Alex Acker,Pepperdine,2005,2005,3
2,LaMarcus Aldridge,Texas,2006,2006,2
3,Adam Morrison,Gonzaga,2006,2006,3
4,Tyrus Thomas,LSU,2006,2006,1
5,Shelden Williams,Duke,2006,2006,4
6,Brandon Roy,Washington,2006,2006,4
7,Randy Foye,Villanova,2006,2006,4
8,Rudy Gay,UConn,2006,2006,2
9,Patrick O'Bryant,Bradley,2006,2006,2
11,JJ Redick,Duke,2006,2006,4
12,Hilton Armstrong,UConn,2006,2006,4
